Name|Beautifly
Number|267
ExperienceType|1
BaseExperience|173
Type1|Bug
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|265
IsGenderLess|0
CanBreed|1
Devolution|266
IsMale|50
Ability1|68
Ability2|Nothing
HiddenAbility|79
Machines|174,92,237,241,173,63,182,202,203,218,216,104,207,214,129,197,156,213,168,13,18,36,99,72,102,117,164,332,263,290,355,412,318,416,432,445,363,474,496,522,611,590,148
BaseHP|60
BaseAttack|70
BaseDefense|50
BaseSpAttack|100
BaseSpDefense|50
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|Vibrantly patterned wings are its prominent feature. It sucks sweet flower nectar with its long mouth.\Butterfly Pokémon\28.4\1\0,148,0
Scale|1
Move|1,71
Move|1,16
Move|10,16
Move|12,71
Move|15,78
Move|17,234
Move|20,314
Move|22,72
Move|25,318
Move|27,213
Move|30,18
Move|32,202
Move|35,405
Move|37,99
Move|40,483
TradeValue|20
Item|5,154
